ds,target,NBEATS,elm,lstm,MLP,rf,SVR,arima,LRF,LSVR,TLSTM,KNN,TRANSFORMER
2018-04-30,0.5180451127819549,0.5313985943794249,0.5390774072070319,0.48269302,0.6062083288554041,0.5438796992481205,0.492674736452063,0.0,0.5415088577473465,0.5111369756884542,0.58210325,0.5244611528822055,0.62321913
2018-05-31,0.4969924812030074,0.5979198217391968,0.4439456946955586,0.47527495,0.7040322961025601,0.5323007518796993,0.4407646532044077,0.51804511013194,0.5177804209864572,0.5019458210023152,0.550767,0.5204511278195488,0.6049868
2018-06-30,0.424812030075188,0.4421778917312622,0.4911415027942793,0.4651918,0.6234401620481376,0.4676531328320799,0.465183965468949,0.507324836046362,0.522876109459337,0.4976935622789798,0.60334367,0.5086215538847116,0.58213925
2018-07-31,0.418796992481203,0.4151016175746918,0.4286930961865676,0.4367703,0.5381677465271736,0.5191659147869674,0.4045539723889427,0.4676583279995178,0.5259213670305153,0.4581570062314145,0.71825624,0.5112280701754386,0.5510012
2018-08-31,0.3496240601503759,0.2818135023117065,0.4134669550525811,0.42121527,0.6713025523710875,0.4841804511278196,0.4092670102251575,0.4338380344563658,0.4557660027776576,0.4453628654380966,0.64478415,0.5054135338345864,0.51627475
2018-09-30,0.4097744360902255,0.5251545906066896,0.4219525415923573,0.39208952,0.585325466192931,0.4668872180451127,0.390065966547347,0.3924865636937745,0.4836998160921141,0.4006651406584461,0.5342987,0.4871679197994988,0.47740626
2018-10-31,0.4578947368421052,0.4871819615364074,0.4325822553385063,0.39534453,0.5519148308010046,0.4604390977443608,0.4083057462847322,0.3877621582082143,0.4388522302818252,0.420936836456382,0.6003282,0.4655137844611529,0.49144232
2018-11-30,0.3796992481203007,0.4120583236217498,0.4360434926305649,0.41323352,0.5454369221850104,0.4384360902255638,0.4097972234849935,0.4249250319393803,0.459428342340491,0.4008441390865692,0.54703903,0.4845614035087719,0.49582344
2018-12-31,0.4278195488721804,0.3580071926116943,0.4510008806794858,0.39995733,0.4353988022848668,0.4366796992481202,0.4093192175187533,0.4145221220415916,0.4481474412483825,0.3863348027882561,0.5136192,0.4580952380952381,0.46281075
2019-01-31,0.3857142857142857,0.3796222507953644,0.4416861448322398,0.40796092,0.492851814402283,0.3956738512949039,0.4112870493401176,0.4103550703534551,0.3569116551121882,0.4003140115741966,0.50288945,0.4364411027568923,0.47310674
2019-02-28,0.2804511278195488,0.2568785548210144,0.4315389220283117,0.3996894,0.5456264998126845,0.3198964076858811,0.4299101586926427,0.4045437532093004,0.4281465476350961,0.4058915472022076,0.4725954,0.3728822055137844,0.4484251
2019-03-31,0.2954887218045112,0.3797817528247832,0.3736663990429636,0.36332083,0.4431561380418539,0.3252898913951546,0.3637854332932343,0.3445729179107272,0.3384514154224041,0.3438573101269422,0.43335176,0.3305764411027568,0.41529804
2019-04-30,0.2744360902255639,0.2777062058448791,0.3267446908454761,0.34785265,0.4514350602999916,0.3235288220551376,0.3068758854133407,0.3045554157401247,0.3103106300807555,0.3073916133844059,0.45275548,0.3313784461152881,0.4079275
2019-05-31,0.256390977443609,0.2138411104679108,0.3434430690808541,0.33346376,0.4799021744499345,0.3185363408521303,0.3022340645316445,0.2887065632574598,0.3237618575937098,0.2916997842088072,0.40830186,0.3329824561403508,0.36395127
2019-06-30,0.256390977443609,0.1516199260950088,0.322896897148262,0.3207988,0.4023398915107844,0.2800701754385966,0.2815768083291435,0.2703958138845495,0.275560265028568,0.2836356429535974,0.36746252,0.3345864661654135,0.35010433
2019-07-31,0.2263157894736842,0.1970462799072265,0.2763420103192016,0.31398046,0.4769697755595874,0.2858796992481205,0.2674736984826876,0.2602116465073271,0.2751060128022909,0.2857651988597909,0.3545706,0.3283709273182957,0.32047886
2019-08-31,0.2864661654135338,0.1859630644321441,0.2711142754290985,0.30249095,0.4536202508846214,0.2966115288220553,0.259045414483353,0.2442109402894642,0.2826208876985984,0.2538546702540488,0.3088496,0.3155388471177945,0.26059714
2019-09-30,0.181203007518797,0.2060186713933944,0.3151547853685081,0.31222486,0.4054602797170699,0.3095037593984963,0.2903560261246573,0.2576424908977398,0.2987438260584128,0.2660399566579792,0.33459926,0.3049122807017544,0.28955305
2019-10-31,0.4157894736842105,0.3451071977615356,0.2743201183911936,0.29039776,0.4279100903697073,0.3105964912280703,0.2700893074977789,0.2323245111562599,0.2826686438930388,0.2481277183023152,0.31787518,0.3039097744360903,0.22559994
2019-11-30,0.3406015037593984,0.346729040145874,0.3410346171185261,0.34153965,0.4045834411741425,0.371609022556391,0.3232745666769184,0.2982838808698856,0.303584769712847,0.2877862332885846,0.32151118,0.331578947368421,0.33006388
2019-12-31,0.3496240601503759,0.3300213515758514,0.4010472548978865,0.3503865,0.3415685939664586,0.355685881370092,0.3886547147323843,0.3506768007992301,0.3899095125923776,0.3341014862510905,0.35709196,0.3646616541353383,0.32730013
2020-01-31,0.4759398496240602,0.3681097030639648,0.38737415907099,0.35894018,0.398025851025936,0.3569791144527988,0.3920636493265573,0.3473168594287995,0.3121465491718298,0.3510494314203441,0.36088482,0.3752882205513784,0.3369736
2020-02-29,0.325563909774436,0.303324282169342,0.3910462646204693,0.40178844,0.3616038847662404,0.4906586466165414,0.4132930124862747,0.404528528475286,0.350145855759529,0.3764208152096993,0.37810868,0.3973433583959899,0.420767
2020-03-31,0.412781954887218,0.2381964921951293,0.458794662832036,0.38026187,0.4390055019188673,0.3527084377610696,0.4670338590610879,0.3903462954271504,0.4686247681234077,0.393289031792834,0.38374284,0.4085714285714285,0.35719895
2020-04-30,0.3195488721804511,0.3013721108436584,0.3849983861621013,0.39449072,0.3129260899734771,0.3815458646616541,0.3887745882182437,0.3815820708479898,0.3333647271903953,0.3666185304368939,0.39113602,0.4191979949874687,0.45059818
2020-05-31,0.4458646616541353,0.3175047039985657,0.3732491090842509,0.373634,0.4527833386244052,0.3014135338345867,0.3937914489676722,0.3632809878791033,0.383191528008344,0.3731426237418716,0.3764833,0.3756892230576441,0.40100488
