ds,target,NBEATS,elm,lstm,MLP,rf,SVR,arima,LRF,LSVR,TLSTM,KNN,TRANSFORMER
2017-07-31,0.3891312887143073,0.4848471283912658,0.3794209284833065,0.34376216,0.3040112628334814,0.479715123130382,0.3650677528515116,0.0,0.3616617185517347,0.3657590059756459,0.3799473,0.6331705934098005,0.29388154
2017-08-31,0.3858679558845748,0.400303304195404,0.3334979734263349,0.34153685,0.3252367219378703,0.479715123130382,0.3711323053354616,0.3891312882407431,0.36991870537549,0.3744735395168157,0.39824066,0.6331680275022072,0.321191
2017-09-30,0.3401571234325428,0.3990729153156281,0.3084897098703027,0.340156,0.335945063269231,0.479715123130382,0.3478440136206303,0.3868092143537321,0.3671011144575697,0.3468953516360025,0.39874628,0.6330534382177514,0.32042855
2017-10-31,0.3420667774588307,0.3423352241516113,0.3340202538862056,0.34127954,0.3621844388364132,0.479715123130382,0.3413608798075913,0.349113269535966,0.3506768461202866,0.337032002809924,0.36681193,0.6330856443590117,0.2972949
2017-11-30,0.3077655234929748,0.3912383615970612,0.3000873169480677,0.3408496,0.3362529787718736,0.479715123130382,0.3123197362654685,0.328041347896429,0.2972937875452413,0.3043016190990379,0.36460704,0.6253721483396922,0.29101667
2017-12-31,0.2981205620184318,0.3701348006725311,0.2521243239547946,0.34291145,0.3430875387595823,0.479715123130382,0.2895597387730247,0.3142670045276313,0.2930632023737527,0.2760753261270339,0.3411422,0.5782127607238159,0.2703864
2018-01-31,0.2847771566701919,0.354460060596466,0.273379522424218,0.34583634,0.3412807769079499,0.479715123130382,0.2956192897332389,0.3092564563082385,0.3060485933001619,0.2890674151860239,0.33139822,0.5817163783423541,0.25809777
2018-02-28,0.2075207735307448,0.3458943367004394,0.2509061955854494,0.34444544,0.3181050206964713,0.479715123130382,0.2792361735893314,0.3031661320000061,0.2726369091078546,0.2651818776000767,0.32050884,0.5971880943404356,0.24608107
2018-03-31,0.3014564133554918,0.4426725804805756,0.237324904692829,0.3469793,0.3111369058600683,0.479715123130382,0.2884224682032905,0.2698717861911233,0.3073153525198139,0.272906953064544,0.26375055,0.6257932578884108,0.20516632
2018-04-30,0.2992083396283427,0.5432409644126892,0.277692789379227,0.34534055,0.2730016176149604,0.479715123130382,0.3034970603776489,0.2681359979890325,0.306968690881914,0.2922015156739008,0.32224128,0.6331792328880171,0.2500608
2018-05-31,0.3861096842423327,0.5733983516693115,0.3204676605992505,0.34416726,0.2788912017331866,0.479715123130382,0.3360827327039769,0.3316175690640555,0.3519702876647942,0.3333821908618515,0.32832322,0.6332402434159385,0.25428674
2018-06-30,0.3741199576975375,0.4954954385757446,0.3148327327871628,0.34058514,0.275579923470328,0.479715123130382,0.3551588814627165,0.3988295954458982,0.3596003857487019,0.3585500509286299,0.3885085,0.6331759446945208,0.3014661
2018-07-31,0.3989212872035051,0.4655394554138184,0.3643606170018554,0.3393356,0.3029121011243372,0.479715123130382,0.369965137047526,0.41084101497186,0.3709555030502934,0.3709470485089334,0.38801003,0.6331857552296583,0.30278653
2018-08-31,0.4036108173440097,0.4104472398757935,0.2965961769552634,0.33723632,0.3386415320000344,0.479715123130382,0.3693087709396304,0.3859443084370129,0.370860265751962,0.3740204330041821,0.40478233,0.633170456743246,0.33440602
2018-09-30,0.3466596162562321,0.4477485716342926,0.3363189989896837,0.33633757,0.3369033250683661,0.479715123130382,0.345065759900743,0.363644216353581,0.3528229374950231,0.3411337121100435,0.41162246,0.6428050639650372,0.32790524
2018-10-31,0.3402296419398701,0.3695300817489624,0.3128907180047139,0.33931273,0.3638325605901013,0.479715123130382,0.3416206280186469,0.3367841748254542,0.3431237915518734,0.3364727020947389,0.3730223,0.6449779136348976,0.30592752
2018-11-30,0.2879437981568213,0.4015880823135376,0.2864521177339284,0.3408121,0.3378194753068985,0.479715123130382,0.3018603811314221,0.2982846556496707,0.2930784732749821,0.2906094116373841,0.36424643,0.6030258951481119,0.28742403
2018-12-31,0.3197310772019943,0.3154064416885376,0.258977561762225,0.34367332,0.3617643726802925,0.479715123130382,0.2855377560792803,0.2744829604188702,0.2907369899549582,0.2713179462643862,0.32736844,0.5775799499276986,0.26003116
2019-01-31,0.2649070856624868,0.356138288974762,0.2340315240861223,0.344467,0.3344063788518921,0.479715123130382,0.2770302722375294,0.2883251977419215,0.2943709453071551,0.2704507781014134,0.3452366,0.5716426592430436,0.26764157
2019-02-28,0.2334340534823991,0.3198124170303345,0.231483500803325,0.3451807,0.3247795190393812,0.479715123130382,0.2646269693736114,0.3056737913197251,0.2567312603564093,0.2455955999721895,0.30898476,0.596727119126126,0.23315834
2019-03-31,0.2820697990633026,0.4444033205509186,0.2382764533909179,0.34974653,0.3100995865158568,0.479715123130382,0.2985369153877756,0.2820088937240454,0.2989572350199831,0.2873945296836901,0.28119987,0.6257967129556122,0.21872333
2019-04-30,0.2962350808279197,0.5244461297988892,0.2847804910190515,0.347582,0.2766666324533928,0.479715123130382,0.3029237702851591,0.2721847203304077,0.3055828615255158,0.2888165483251321,0.31166533,0.6331855750962403,0.24051559
2019-05-31,0.3600755401117994,0.6138090491294861,0.3234419004846573,0.34758174,0.2876670831200382,0.479715123130382,0.3483300001522607,0.3227199866536198,0.3578965148897325,0.3484857201915052,0.32507107,0.6332729231586707,0.25613722
2019-06-30,0.3591086266807676,0.5767031908035278,0.3473847583733497,0.34219205,0.2652696833638288,0.479715123130382,0.3557932426865203,0.3779502434242691,0.3560544558313306,0.3566919549381997,0.3700205,0.6331870802045627,0.28442955
