target,NBEATS,elm,lstm,MLP,rf,SVR,arima,LRF,LSVR,ds,TLSTM,KNN,TRANSFORMER
0.3396812749003984,0.329322874546051,0.319140172911841,0.4163562,0.3762677733502175,0.4539614460675816,0.2591589742844405,0.0,0.3151276198344636,0.2848596672405935,2019-01-31,0.295133,0.4778554040020669,0.19528888
0.2589375830013281,0.2540455758571625,0.3406802727122471,0.42110014,0.412272779061348,0.4539614460675816,0.2747759374010018,0.3396812749003984,0.3129364725344008,0.2931924098052428,2019-02-28,0.30082965,0.4794435706060382,0.22758676
0.3522886232846393,0.3735782802104949,0.318284489567824,0.4450482,0.4949339958688284,0.4539614460675816,0.2846637184018684,0.2589375830013281,0.3199445256076864,0.3054520375017252,2019-03-31,0.31822583,0.5747476515429815,0.21956022
0.4342363877822045,0.504096269607544,0.3896598703944181,0.49762243,0.48100330497099,0.4525134560172011,0.3478145499323585,0.3522886232319235,0.4223546825437838,0.3758720367002016,2019-04-30,0.39806774,0.6095013948515517,0.33539212
0.5123594510845507,0.5711631178855896,0.4911607501979433,0.5417898,0.5388333438160027,0.4516757992369148,0.4234963457095851,0.4342363877822045,0.4673320136648021,0.449508640959872,2019-05-31,0.4575277,0.612134663465488,0.4465407
0.5129260734838424,0.5415856838226318,0.4839718654022114,0.5789318,0.5789267337550317,0.4747955513396152,0.4470438272629998,0.5123594510845507,0.4796066206085906,0.4610560814590018,2019-06-30,0.4832363,0.6130581981223271,0.52031934
0.5622930500221336,0.5945671796798706,0.5026758729355592,0.5971448,0.5882374659507309,0.4749372069394379,0.4379075317691342,0.5129260734838424,0.4841931567806498,0.4691414329707614,2019-07-31,0.4911836,0.6494948838700219,0.528871
0.5478441788401948,0.5412655472755432,0.5337614647409923,0.60851413,0.6091303150443471,0.4753143987014903,0.4652660432319991,0.5622930500221336,0.4859927055483838,0.50372324337187,2019-08-31,0.51087546,0.6532109092224198,0.5519428
0.5227003098716246,0.4979227483272552,0.4472305503092306,0.5909617,0.5598291567738886,0.4761931356057253,0.4069496134767544,0.5478441788401948,0.4685736269491547,0.4375523150858146,2019-09-30,0.49282658,0.6612781297051268,0.48838395
0.5129260734838424,0.4591706693172455,0.4586007368439622,0.55611354,0.5429713090265595,0.4792341103311621,0.397230064829933,0.5227003098716246,0.4589816538306887,0.423738761152126,2019-10-31,0.4577306,0.6181506189080199,0.4160161
0.3648251438689686,0.3178515434265136,0.3755881949126796,0.5090927,0.4741634202576089,0.4769021050190771,0.3290198790023512,0.5129260734838424,0.3850907299553801,0.3690721118866883,2019-11-30,0.384794,0.549833145378083,0.35372698
0.3751660026560425,0.3450424373149872,0.325258287683795,0.44850087,0.4496468980592207,0.4581119551423934,0.3008736388905203,0.3648251438689686,0.3399288131041653,0.3227965972242298,2019-12-31,0.33254862,0.5058916292900425,0.24830152
0.4120672864099158,0.4149798452854157,0.342705528687812,0.41332865,0.3929989317873669,0.4554771609856869,0.3063518221445293,0.3751660026560425,0.3207523383703994,0.3113584261568957,2020-01-31,0.3066903,0.4782198283761614,0.24248238
0.3874900398406374,0.4175586402416228,0.3565754584389402,0.42020482,0.3963812257277346,0.4529372760808619,0.3128620343290144,0.4120672864099158,0.3022795589451454,0.3190168270621604,2020-02-29,0.31393877,0.4542847460184665,0.30898565
0.2813899955732625,0.2998918294906616,0.385032808036341,0.46073925,0.4905659902416293,0.4550489747407676,0.3751942249200574,0.3874900398406374,0.3072993079204501,0.3704762528723105,2020-03-31,0.3557953,0.4810057433323767,0.37397498
0.1274811863656485,0.1840311586856842,0.3812219090238231,0.48720944,0.520700630871282,0.4519425839499147,0.3730479032231987,0.2813899955732625,0.4035989466814273,0.3736233283114419,2020-04-30,0.38660607,0.5746083588621663,0.33014053
0.3476139884904825,0.4204065203666687,0.3928441182180464,0.47944772,0.5712522377266454,0.4507352060540905,0.3672937322239727,0.1274811863656485,0.4451111525672567,0.3738287114261155,2020-05-31,0.37824145,0.5748347221697822,0.19384067
0.253908809207614,0.3168088197708129,0.4258571659915315,0.5148518,0.5164011197682322,0.4503020232298321,0.3971874692326228,0.3476139884904825,0.4553332579983041,0.4119114899337232,2020-06-30,0.45132115,0.6092524280272029,0.34579146
0.2147410358565736,0.2572802603244781,0.4080834439937242,0.5241583,0.6251478433403924,0.4982260013912604,0.3929291211487796,0.253908809207614,0.5136138940439986,0.4046530222292389,2020-07-31,0.47175515,0.6115007759784798,0.28936768
0.2615582115980522,0.2815236449241638,0.3711622599355573,0.51684046,0.6063209482309405,0.458103185986214,0.3433205854202562,0.2147410358565736,0.4538503686247535,0.390564376234071,2020-08-31,0.44655102,0.6106963214954199,0.22804765
0.2881894643647632,0.3159087300300598,0.3914631424873367,0.51795644,0.5049055002867383,0.451306078121377,0.3059756673297112,0.2615582115980522,0.4494918888721378,0.3831121922936392,2020-09-30,0.42407545,0.6108342550049711,0.22769956
0.383311199645861,0.3617677390575409,0.4333071184286023,0.5210127,0.5443616491622222,0.4527540681717575,0.333014930225621,0.2881894643647632,0.4314541616009729,0.3815648058160829,2020-10-31,0.42189568,0.6118180668368317,0.21936108
0.2061708720672864,0.1711524575948715,0.3494724528489941,0.53541434,0.5073331838209305,0.4539614460675816,0.2559231196578398,0.383311199645861,0.3268368315205855,0.3187444330294814,2020-11-30,0.4165552,0.6113884024933395,0.26740515
